"Species_Parkki","Species_Perch","Species_Pike","Species_Roach","Species_Smelt","Species_Whitefish","Weight","Length1","Height","Width"
0,1,0,0,0,0,2400,47.9,17.11,8.2
0,0,0,0,0,0,242,23.2,11.52,4.02
0,0,0,0,0,0,290,24,12.48,4.3056
0,0,0,0,0,0,340,23.9,12.3778,4.6961
0,0,0,0,0,0,363,26.3,12.73,4.4555
0,0,0,0,0,0,430,26.5,12.444,5.134
0,0,0,0,0,0,450,26.8,13.6024,4.9274
0,0,0,0,0,0,500,26.8,14.1795,5.2785
0,0,0,0,0,0,390,27.6,12.67,4.69
0,0,0,0,0,0,450,27.6,14.0049,4.8438
0,0,0,0,0,0,500,28.5,14.2266,4.9594
0,0,0,0,0,0,475,28.4,14.2628,5.1042
0,0,0,0,0,0,500,28.7,14.3714,4.8146
0,0,0,0,0,0,500,29.1,13.7592,4.368
0,0,0,0,0,0,340,29.5,13.9129,5.0728
0,0,0,0,0,0,600,29.4,14.9544,5.1708
0,0,0,0,0,0,600,29.4,15.438,5.58
0,0,0,0,0,0,700,30.4,14.8604,5.2854
0,0,0,0,0,0,700,30.4,14.938,5.1975
0,0,0,0,0,0,610,30.9,15.633,5.1338
0,0,0,0,0,0,650,31,14.4738,5.7276
0,0,0,0,0,0,575,31.3,15.1285,5.5695
0,0,0,0,0,0,685,31.4,15.9936,5.3704
0,0,0,0,0,0,620,31.5,15.5227,5.2801
0,0,0,0,0,0,680,31.8,15.4686,6.1306
0,0,0,0,0,0,700,31.9,16.2405,5.589
0,0,0,0,0,0,725,31.8,16.36,6.0532
0,0,0,0,0,0,720,32,16.3618,6.09
0,0,0,0,0,0,714,32.7,16.517,5.8515
0,0,0,0,0,0,850,32.8,16.8896,6.1984
0,0,0,0,0,0,1000,33.5,18.957,6.603
0,0,0,0,0,0,920,35,18.0369,6.3063
0,0,0,0,0,0,955,35,18.084,6.292
0,0,0,0,0,0,925,36.2,18.7542,6.7497
0,0,0,0,0,0,975,37.4,18.6354,6.7473
0,0,0,0,0,0,950,38,17.6235,6.3705
0,0,0,1,0,0,40,12.9,4.1472,2.268
0,0,0,1,0,0,69,16.5,5.2983,2.8217
0,0,0,1,0,0,78,17.5,5.5756,2.9044
0,0,0,1,0,0,87,18.2,5.6166,3.1746
0,0,0,1,0,0,120,18.6,6.216,3.5742
0,0,0,1,0,0,121.191213895047,19,6.4752,3.3516
0,0,0,1,0,0,110,19.1,6.1677,3.3957
0,0,0,1,0,0,120,19.4,6.1146,3.2943
0,0,0,1,0,0,150,20.4,5.8045,3.7544
0,0,0,1,0,0,145,20.5,6.6339,3.5478
0,0,0,1,0,0,160,20.5,7.0334,3.8203
0,0,0,1,0,0,140,21,6.55,3.325
0,0,0,1,0,0,160,21.1,6.4,3.8
0,0,0,1,0,0,169,22,7.5344,3.8352
0,0,0,1,0,0,161,22,6.9153,3.6312
0,0,0,1,0,0,200,22.1,7.3968,4.1272
0,0,0,1,0,0,180,23.6,7.0866,3.906
0,0,0,1,0,0,290,24,8.8768,4.4968
0,0,0,1,0,0,272,25,8.568,4.7736
0,0,0,1,0,0,390,29.5,9.485,5.355
0,0,0,0,0,1,270,23.6,8.3804,4.2476
0,0,0,0,0,1,270,24.1,8.1454,4.2485
0,0,0,0,0,1,306,25.6,8.778,4.6816
0,0,0,0,0,1,540,28.5,10.744,6.562
0,0,0,0,0,1,800,33.7,11.7612,6.5736
0,0,0,0,0,1,1000,37.3,12.354,6.525
1,0,0,0,0,0,55,13.5,6.8475,2.3265
1,0,0,0,0,0,60,14.3,6.5772,2.3142
1,0,0,0,0,0,90,16.3,7.4052,2.673
1,0,0,0,0,0,120,17.5,8.3922,2.9181
1,0,0,0,0,0,150,18.4,8.8928,3.2928
1,0,0,0,0,0,140,19,8.5376,3.2944
1,0,0,0,0,0,170,19,9.396,3.4104
1,0,0,0,0,0,145,19.8,9.7364,3.1571
1,0,0,0,0,0,200,21.2,10.3458,3.6636
1,0,0,0,0,0,273,23,11.088,4.144
1,0,0,0,0,0,300,24,11.368,4.234
0,1,0,0,0,0,5.9,7.5,2.112,1.408
0,1,0,0,0,0,32,12.5,3.528,1.9992
0,1,0,0,0,0,40,13.8,3.824,2.432
0,1,0,0,0,0,51.5,15,4.5924,2.6316
0,1,0,0,0,0,70,15.7,4.588,2.9415
0,1,0,0,0,0,100,16.2,5.2224,3.3216
0,1,0,0,0,0,78,16.8,5.1992,3.1234
0,1,0,0,0,0,80,17.2,5.6358,3.0502
0,1,0,0,0,0,85,17.8,5.1376,3.0368
0,1,0,0,0,0,85,18.2,5.082,2.772
0,1,0,0,0,0,110,19,5.6925,3.555
0,1,0,0,0,0,115,19,5.9175,3.3075
0,1,0,0,0,0,125,19,5.6925,3.6675
0,1,0,0,0,0,130,19.3,6.384,3.534
0,1,0,0,0,0,120,20,6.11,3.4075
0,1,0,0,0,0,120,20,5.64,3.525
0,1,0,0,0,0,130,20,6.11,3.525
