"Species_Parkki","Species_Perch","Species_Pike","Species_Roach","Species_Smelt","Species_Whitefish","Weight","Length1","Height","Width"
0,1,0,0,0,0,5.10267343315655,2.12814532793085,1.87187030309056,2.20217360139195
0,0,0,0,0,0,-0.435215228091273,-0.314758801261295,0.578154043410721,-0.246721005355177
0,0,0,0,0,0,-0.312036981687244,-0.235636400315801,0.800330717702786,-0.0793994025592493
0,0,0,0,0,0,-0.183726308349713,-0.245526700433988,0.77667815925211,0.149378909386864
0,0,0,0,0,0,-0.124703398614449,-0.00815949759750407,0.858189226633011,0.00842100451046199
0,0,0,0,0,0,0.0472329036578421,0.0116211026388695,0.791999092416834,0.405926983141544
0,0,0,0,0,0,0.0985571729928543,0.0412920029934299,1.06009227939592,0.284888316693229
0,0,0,0,0,0,0.226867846330385,0.0412920029934299,1.19365286141046,0.490583746460913
0,0,0,0,0,0,-0.0554156350121825,0.120414403938924,0.844303184489757,0.145805163668884
0,0,0,0,0,0,0.0985571729928543,0.120414403938924,1.15324447877359,0.235910424558287
0,0,0,0,0,0,0.226867846330385,0.209427105002606,1.20455340449291,0.303635835213781
0,0,0,0,0,0,0.16271250966162,0.199536804884419,1.21293131658601,0.38846835651928
0,0,0,0,0,0,0.226867846330385,0.229207705238979,1.2380650528653,0.218803313908283
0,0,0,0,0,0,0.226867846330385,0.268768905711726,1.09638113619696,-0.0428417414441725
0,0,0,0,0,0,-0.183726308349713,0.308330106184474,1.13195254748726,0.370072353970988
0,0,0,0,0,0,0.483489193005446,0.298439806066287,1.37299109569058,0.427486629440179
0,0,0,0,0,0,0.483489193005446,0.298439806066287,1.48491259536521,0.66722052252174
0,0,0,0,0,0,0.740110539680508,0.397342807248155,1.35123629633282,0.494626180141907
0,0,0,0,0,0,0.740110539680508,0.397342807248155,1.36919557750476,0.443129090205765
0,0,0,0,0,0,0.509151327672953,0.446794307839089,1.53004223233079,0.405809811150791
0,0,0,0,0,0,0.611799866342977,0.456684607957276,1.26176389812312,0.753693451697786
0,0,0,0,0,0,0.419333856336681,0.486355508311836,1.41328376130959,0.661068993007183
0,0,0,0,0,0,0.701617337679249,0.496245808430023,1.61349734561174,0.544424276212123
0,0,0,0,0,0,0.534813462340459,0.50613610854821,1.50451505819077,0.49152112238694
0,0,0,0,0,0,0.688786270345496,0.53580700890277,1.49199447685827,0.98979501306599
0,0,0,0,0,0,0.740110539680508,0.545697309020957,1.67063840903123,0.672493262105645
0,0,0,0,0,0,0.804265876349273,0.53580700890277,1.69829477629988,0.944449452644405
0,0,0,0,0,0,0.79143480901552,0.555587609139144,1.69871135756418,0.96600909894304
0,0,0,0,0,0,0.776037528215016,0.624819709966452,1.73462991990806,0.826281499969549
0,0,0,0,0,0,1.1250425596931,0.634710010084638,1.82086224161767,1.02951631793141
0,0,0,0,0,0,1.50997457970569,0.703942110911946,2.29932896706706,1.26655525522564
0,0,0,0,0,0,1.30467750236564,0.852296612684748,2.08638651080026,1.0927306069429
0,0,0,0,0,0,1.39449497370191,0.852296612684748,2.09728705388271,1.08435280960402
0,0,0,0,0,0,1.3175085696994,0.97098021410299,2.25239414462286,1.3525009104433
0,0,0,0,0,0,1.44581924303693,1.08966381552123,2.22489978117922,1.35109484655426
0,0,0,0,0,0,1.38166390636816,1.14900561623035,1.99071168043324,1.13034281597475
0,0,0,1,0,0,-0.953590348374897,-1.33345971343454,-1.12816281515233,-1.27314764435541
0,0,0,1,0,0,-0.87917015783913,-0.977408909179811,-0.861759096634006,-0.948756987954478
0,0,0,1,0,0,-0.856074236638374,-0.878505907997943,-0.7975824385286,-0.900306369777926
0,0,0,1,0,0,-0.832978315437618,-0.809273807170635,-0.788093643064043,-0.742007010270014
0,0,0,1,0,0,-0.748293271034848,-0.769712606697888,-0.649372082052935,-0.507897372744619
0,0,0,1,0,0,-0.745236361895598,-0.730151406225141,-0.589384379994078,-0.63830979845321
0,0,0,1,0,0,-0.773955405702354,-0.720261106106954,-0.660550345978255,-0.612473374492074
0,0,0,1,0,0,-0.748293271034848,-0.690590205752394,-0.672839493275034,-0.671879573804074
0,0,0,1,0,0,-0.67130686703233,-0.591687204570526,-0.744607187752086,-0.40232540907576
0,0,0,1,0,0,-0.684137934366083,-0.581796904452339,-0.552655798525171,-0.523364075524075
0,0,0,1,0,0,-0.645644732364824,-0.581796904452339,-0.460197901254671,-0.363717238122498
0,0,0,1,0,0,-0.696969001699836,-0.532345403861405,-0.572073114122154,-0.653893673223419
0,0,0,1,0,0,-0.645644732364824,-0.522455103743218,-0.606788219480289,-0.375610195183973
0,0,0,1,0,0,-0.622548811164068,-0.433442402679537,-0.3442494493585,-0.354987924811366
0,0,0,1,0,0,-0.643078518898073,-0.433442402679537,-0.487530260873309,-0.474503355379886
